Rx Bucket	Tier	DrugNameSimple	Drug MOA Description	HRD flag	Drugs In Rx
PI3K Inhibitor	1B	idelalisib	Idelalisib is an orally bioavailable, small molecule inhibitor of the delta isoform of the 110 kDa catalytic subunit of class I phosphoinositide-3 kinase (PI3K) with potential immunomodulating and antineoplastic activities. Idelalisib inhibits the production of the second messenger phosphatidylinositol-3,4,5-trisphosphate (PIP3), preventing the activation of the PI3K signaling pathway and inhibiting tumor cell proliferation, motility, and survival. Unlike other isoforms of PI3K, PI3K-delta is expressed primarily in hematopoietic lineages. The targeted inhibition of PI3K-delta is designed to preserve PI3K signaling in normal, non-neoplastic cells.	0	1
PI3K Inhibitor	1B	pictilisib	Pictilisib (GDC-0941) is a PI3K inhibitor that selectively binds to PI3K isoforms in an ATP-competitive manner, inhibiting the production of the secondary messenger phosphatidylinositol-3,4,5-trisphosphate (PIP3) and activation of the PI3K/Akt signaling pathway.	0	1
PI3K Inhibitor	1B	taselisib	Taselisib is an orally bioavailable inhibitor of the class I phosphatidylinositol 3-kinase (PI3K) alpha isoform (PIK3CA), with potential antineoplastic activity. Taselisib selectively inhibits PIK3CA and its mutant forms in the PI3K/Akt/mTOR pathway, which may result in tumor cell apoptosis and growth inhibition in PIK3CA-expressing tumor cells. By specifically targeting class I PI3K alpha, this agent may be more efficacious and less toxic than pan PI3K inhibitors. Dysregulation of the PI3K/Akt/mTOR pathway is frequently found in solid tumors and causes increased tumor cell growth, survival, and resistance to both chemotherapy and radiotherapy. PIK3CA, which encodes the p110-alpha catalytic subunit of the class I PI3K, is mutated in a variety of cancer cell types and plays a key role in cancer cell growth and invasion.	0	1
SHH Inhibitor	1B	sonidegib	Sonidegib is an inhibitor of the Hedgehog pathway. Sonidegib binds to and inhibits Smoothened, a transmembrane protein involved in Hedgehog signal transduction.	0	1
SHH Inhibitor	1B	vismodegib	Vismodegib is an inhibitor of the Hedgehog pathway. Vismodegib binds to and inhibits Smoothened, a transmembrane protein involved in Hedgehog signal transduction.	0	1
TRK Inhibitor	1B	larotrectinib	Larotrectinib is an inhibitor of the tropomyosin receptor kinases (TRK), TRKA, TRKB, and TRKC. In a broad panel of purified enzyme assays, larotrectinib inhibited TRKA, TRKB, and TRKC with IC50 values between 5-11 nM. One other kinase TNK2 was inhibited at approximately 100-fold higher concentration. TRKA, B, and C are encoded by the genes NTRK1, NTRK2, and NTRK3.Chromosomal rearrangements involving in-frame fusions of these genes with various partners can result in constitutively-activated chimeric TRK fusion proteins that can act as an oncogenic driver, promoting cell proliferation and survival in tumor cell lines. In in vitro and in vivo tumor models, larotrectinib demonstrated anti-tumor activity in cells with constitutive activation of TRK proteins resulting from gene fusions, deletion of a protein regulatory domain, or in cells with TRK protein overexpression. Larotrectinib had minimal activity in cell lines with point mutations in the TRKA kinase domain, including the clinically identified acquired resistance mutation, G595R. Point mutations in the TRKC kinase domain with clinically identified acquired resistance to larotrectinib include G623R, G696A, and F617L.	0	1
BCL2 Inhibitor	1A	venetoclax 	Venetoclax is a selective and orally bioavailable small-molecule inhibitor of BCL-2, an antiapoptotic protein. Overexpression of BCL-2 has been demonstrated in CLL and AML cells where it mediates tumor cell survival and has been associated with resistance to chemotherapeutics. Venetoclax helps restore the process of apoptosis by binding directly to the BCL-2 protein, displacing pro-apoptotic proteins like BIM, triggering mitochondrial outer membrane permeabilization and the activation of caspases. In nonclinical studies, venetoclax has demonstrated cytotoxic activity in tumor cells that overexpress BCL-2.	0	1
MEK + BRAF + pan-RTK Inhibitor Combination	1A	dabrafenib+regorafenib+trametinib	Dabrafenib is an inhibitor of some mutated forms of BRAF kinases with in vitro IC50 values of 0.65, 0.5, and 1.84 nM for BRAF V600E, BRAF V600K, and BRAF V600D enzymes, respectively. Dabrafenib also inhibits wild-type BRAF and CRAF kinases with IC50 values of 3.2 and 5.0 nM, respectively, and other kinases such as SIK1, NEK11, and LIMK1 at higher concentrations. Some mutations in the BRAF gene, including those that result in BRAF V600E, can result in constitutively activated BRAF kinases that may stimulate tumor cell growth [see Indications and Usage (1)]. Dabrafenib inhibits BRAF V600 mutation-positive melanoma cell growth in vitro and in vivo.	0	3
MEK + pan RTK Inhibitor Combination	1A	regorafenib+trametenib	Regorafenib is a small molecule inhibitor of multiple membrane-bound and intracellular kinases involved in normal cellular functions and in pathologic processes such as oncogenesis, tumor angiogenesis, and maintenance of the tumor microenvironment. In in vitro biochemical or cellular assays, regorafenib or its major human active metabolites M-2 and M-5 inhibited the activity of RET, VEGFR1, VEGFR2, VEGFR3, KIT, PDGFR-alpha, PDGFR-beta, FGFR1, FGFR2, TIE2, DDR2, Trk2A, Eph2A, RAF-1, BRAF, BRAFV600E , SAPK2, PTK5, and Abl at concentrations of regorafenib that have been achieved clinically. In in vivo models, regorafenib demonstrated anti-angiogenic activity in a rat tumor model, and inhibition of tumor growth as well as anti-metastatic activity in several mouse xenograft models including some for human colorectal carcinoma	0	2
XPO1 + BCL2 Inhibitior Combination	1A	selinexor+venetoclax	Selinexor is an orally available, small molecule inhibitor of CRM1 (chromosome region maintenance 1 protein, exportin 1 or XPO1), with potential antineoplastic activity. Selinexor modifies the essential CRM1-cargo binding residue cysteine-528, thereby irreversibly inactivates CRM1-mediated nuclear export of cargo proteins such as tumor suppressor proteins (TSPs), including p53, p21, BRCA1/2, pRB, FOXO, and other growth regulatory proteins. As a result, this agent, via the approach of selective inhibition of nuclear export (SINE), restores endogenous tumor suppressing processes to selectively eliminate tumor cells while sparing normal cells. CRM1, the major export factor for proteins from the nucleus to the cytoplasm, is overexpressed in a variety of cancer cell types. Venetoclax is a selective and orally bioavailable small-molecule inhibitor of BCL-2, an antiapoptotic protein. Overexpression of BCL-2 has been demonstrated in CLL and AML cells where it mediates tumor cell survival and has been associated with resistance to chemotherapeutics. Venetoclax helps restore the process of apoptosis by binding directly to the BCL-2 protein, displacing pro-apoptotic proteins like BIM, triggering mitochondrial outer membrane permeabilization and the activation of caspases. In nonclinical studies, venetoclax has demonstrated cytotoxic activity in tumor cells that overexpress BCL-2.	0	2
XPO1 Inhibitor	1A	selinexor	Selinexor is an orally available, small molecule inhibitor of CRM1 (chromosome region maintenance 1 protein, exportin 1 or XPO1), with potential antineoplastic activity. Selinexor modifies the essential CRM1-cargo binding residue cysteine-528, thereby irreversibly inactivates CRM1-mediated nuclear export of cargo proteins such as tumor suppressor proteins (TSPs), including p53, p21, BRCA1/2, pRB, FOXO, and other growth regulatory proteins. As a result, this agent, via the approach of selective inhibition of nuclear export (SINE), restores endogenous tumor suppressing processes to selectively eliminate tumor cells while sparing normal cells. CRM1, the major export factor for proteins from the nucleus to the cytoplasm, is overexpressed in a variety of cancer cell types.	0	1
ALK Inhibitor	2	alectinib		0	1
ALK Inhibitor	2	crizotinib		0	1
ALK Inhibitor	2	alectinib		0	1
ALK Inhibitor	2	crizotinib		0	1
AMPK Agonist	2	aica ribonucleotide		0	1
BCR-ABL Inhibitor	2	dasatinib		0	1
BCR-ABL Inhibitor	2	imatinib		0	1
BCR-ABL Inhibitor	2	nilotinib		0	1
BCR-ABL Inhibitor	2	ponatinib		0	1
BCR-ABL Inhibitor	2	saracatinib		0	1
BRAF Inhibitor	2	dabrafenib		0	1
BRAF Inhibitor	2	encorafenib		0	1
BRAF Inhibitor	2	vemurafenib		0	1
EDNR Agonist	2	zibotentan		0	1
EGFR Inhibitor	2	erlotinib		0	1
EGFR Inhibitor	2	gefitinib		0	1
EGFR Inhibitor	2	pelitinib		0	1
EGFR Inhibitor	2	afatinib		0	1
EGFR Inhibitor	2	lapatinib		0	1
HDAC Inhibitor	2	belinostat		0	1
HDAC Inhibitor	2	cudc-101		0	1
HDAC Inhibitor	2	dacinostat		0	1
HDAC Inhibitor	2	entinostat		0	1
HDAC Inhibitor	2	givinostat		0	1
HDAC Inhibitor	2	panobinostat		0	1
HDAC Inhibitor	2	parthenolide		0	1
HDAC Inhibitor	2	tubastatin a		0	1
HDAC Inhibitor	2	vorinostat		0	1
IMIDs	2	lenalidomide		0	1
IMIDs	2	pomalidomide		0	1
IMIDs	2	thalidomide		0	1
JAK Inhibitor	2	fedratinib		0	1
JAK Inhibitor	2	ruxolitinib		0	1
PKC Inhibitor	2	bryostatin		0	1
PKC Inhibitor	2	midostaurin		0	1
PKC Inhibitor	2	enzastaurin		0	1
Proteasome Inhibitor	2	bortezomib		0	1
Proteasome Inhibitor	2	carfilzomib		0	1
Proteasome Inhibitor	2	ixazomib		0	1
TOP Inhibitor	2	camptothecin		0	1
TOP Inhibitor	2	etoposide		0	1
VEGFR Inhibitor	2	axitinib		0	1
VEGFR Inhibitor	2	sunitinib		0	1
VEGFR Inhibitor	2	sorafenib		0	1
VEGFR Inhibitor	2	cabozantinib		0	1
VEGFR Inhibitor	2	dactolisib		0	1
VEGFR Inhibitor	2	linifanib		0	1
VEGFR Inhibitor	2	motesanib		0	1
VEGFR Inhibitor	2	tivozanib		0	1
